Job Title,Job Type,Location,Experience Level,Salary Min (?),Salary Max (?),Min Education,Category,Openings,Notice Period,Year of Passing,Direct Link,Work Type,Interview Type,Company Name,Company Website,Company Description,Job Description,Requirements,Responsibilities,Skills
Production Operator,Full-time,"Hingna, Nagpur",Fresher,18000,25000,10th Pass,Manufacturing,5,Immediate Joiner,2024-2025,ravi@bwipindia.com,On-Site,Walk-In,Wellspring Industries,http://wellprint.in/,"Multi-product manufacturing facility in MIDC Hingna producing industrial components, with focus on quality, sustainability, and employee development.","Operate production machinery, monitor assembly lines, ensure quality output, and maintain daily production logs. Work in team environment with rotation shifts. Handle equipment safely following safety protocols.",10th pass education minimum | Fresher candidates welcome | Basic machinery operation knowledge | Physical fitness for standing work | Willingness to work shifts,Operate production machinery daily | Monitor assembly line operations | Maintain equipment cleanliness | Complete daily production reports | Follow safety procedures strictly | Work collaboratively with team,"Machine Operation, Quality Monitoring, Safety Awareness, Physical Stamina, Teamwork"
CNC Machine Operator,Full-time,"Kuhi, Nagpur",0-3 years,20000,25000,ITI,Manufacturing,3,Upto 1 week,2023-2025,aryanaluminium12@gmail.com,On-Site,On-site,Aryan Trading Company,https://www.aryangrouppune.co.in/,"CNC machine shop and manufacturing unit focusing on precision engineering, custom fabrication, and equipment maintenance services.","Set up and operate CNC machines for precision manufacturing, program machines for specific components, monitor production quality, troubleshoot minor issues. Handle metal and alloy components.",ITI diploma in mechanical manufacturing | 0-3 years CNC operation experience | Knowledge of technical drawings | Basic mathematical skills | Problem-solving ability,Set up CNC machines accurately | Load and operate machinery | Monitor quality of output | Maintain equipment logbook | Report breakdowns immediately | Coordinate with supervisors,"CNC Programming, Machine Setup, Technical Drawings, Quality Control, Troubleshooting"
Quality Analyst,Full-time,"Hingna Road, Nagpur",Fresher,16000,22000,Diploma,Manufacturing,2,Immediate Joiner,2024-2025,info@dmcfs.in.,On-Site,Online,Deccan Management Consultants,https://www.dmcfs.in/.,Manufacturing and skill training organization focused on quality assurance and production management with hands-on industry exposure.,"Inspect manufactured components for defects, test product specifications, maintain quality documentation, analyze production trends. Ensure compliance with industry standards.",Diploma in mechanical electronics engineering | 0-2 years quality assurance experience | Familiarity with inspection tools | Strong attention to detail | Good organizational skills,Inspect finished products thoroughly | Test component specifications | Maintain quality records documentation | Identify production defects | Report quality issues | Support continuous improvement,"Quality Inspection, Statistical Analysis, Documentation, Attention to Detail, Problem Solving"
Manufacturing Site Supervisor,Full-time,"Dharampeth, Nagpur",1-4 years,20000,28000,Graduate,Manufacturing,2,Upto 2 weeks,2020-2024,sales@vaibhavplastimoulds.com,On-Site,On-site,Vaibhav Manufacturing,vaibhavplasto.com,Full-service manufacturing plant in Dharampeth specialized in automotive parts and machinery components with modern production facilities.,"Oversee daily manufacturing operations, manage workforce, ensure production targets are met, handle equipment maintenance schedules. Coordinate between management and shop floor.",Graduate degree required | 1-4 years supervisory experience | Leadership and communication skills | Knowledge of safety regulations | Experience in manufacturing environment,Oversee shop floor operations | Manage and supervise team members | Ensure production schedules met | Monitor equipment maintenance | Report to senior management | Enforce safety protocols,Oversee shop floor operations | Manage and supervise team members | Ensure production schedules met | Monitor equipment maintenance | Report to senior management | Enforce safety protocols
Assistant Production Manager,Full-time,"Hingna Road, Nagpur",2-3 years,45000,50000,Graduate,Manufacturing,1,Upto 1 week,2021-2023,ravi@bwipindia.com.,On-Site,On-site,Wellspring Industries,http://wellprint.in/,"Multi-product manufacturing facility in MIDC Hingna producing industrial components, with focus on quality, sustainability, and employee development.","Support production manager in planning, scheduling, and executing manufacturing operations. Monitor KPIs, manage inventory, coordinate with multiple departments.",Bachelor's degree in engineering field | 2-3 years production experience | Knowledge of production planning | Analytical and organizational skills | Experience with production software,Prepare production schedules and reports | Monitor production KPIs | Coordinate with quality maintenance | Manage work-in-progress inventory | Support process improvements | Handle documentation,"Production Planning, Data Analysis, Inventory Management, Communication, Process Improvement"
Quality Assurance Inspector,Full-time,"Mansar, Nagpur",1-2 years,22000,30000,Diploma,Manufacturing,3,Immediate Joiner,2023-2024,eros ngp@bsnl.in,On-Site,Walk-In,Eros Metal Works Pvt Ltd,https://www.erosmetalworks.com,Leading precision metal manufacturing company in Nagpur specializing in aerospace and automotive components with ISO certification and modern CNC facilities.,"Perform detailed inspections of manufactured goods, verify compliance with standards, document findings, participate in quality audits. Ensure zero-defect production.",Diploma or Bachelor's degree | 1-2 years QA inspection experience | Knowledge of quality standards | Proficiency with inspection equipment | Attention to detail accuracy,Conduct regular product inspections | Test material specifications | Maintain inspection reports records | Identify quality issues early | Participate in audits | Suggest improvements,"Quality Inspection, Technical Knowledge, Documentation, Precision, Communication"
Production Supervisor,Full-time,"MIDC Hingna, Nagpur",3-6 years,40000,55000,Graduate,Manufacturing,2,Upto 1 week,2018-2022,eros ngp@bsnl.in,On-Site,On-site,Eros Metal Works Pvt Ltd,https://www.erosmetalworks.com,Leading precision metal manufacturing company in Nagpur specializing in aerospace and automotive components with ISO certification and modern CNC facilities.,"Lead production team, ensure output meets targets and deadlines, manage equipment and resources, handle employee coordination and safety compliance.",Bachelor's degree preferred | 3-6 years production supervisory experience | Strong leadership abilities | Knowledge of manufacturing processes | Safety and compliance expertise,Lead production team daily | Ensure production targets achieved | Monitor equipment performance | Manage resources efficiently | Enforce safety standards | Mentor junior staff,"Leadership, Production Management, Team Coordination, Equipment Maintenance, Safety Management"
Maintenance Technician,Full-time,"Kuhi, Nagpur",2-4 years,25000,35000,ITI,Manufacturing,2,Upto 2 weeks,2020-2023,aryanaluminium12@gmail.com,On-Site,Walk-In,Aryan Trading Company,https://www.aryangrouppune.co.in/,"CNC machine shop and manufacturing unit focusing on precision engineering, custom fabrication, and equipment maintenance services.","Maintain and repair manufacturing equipment, perform preventive maintenance, troubleshoot mechanical issues, keep maintenance logs and schedules.",ITI or technical certificate required | 2-4 years maintenance experience | Mechanical and electrical knowledge | Problem-solving ability | Technical aptitude,Perform routine equipment maintenance | Repair equipment breakdowns promptly | Keep maintenance records updated | Troubleshoot mechanical issues | Maintain spare parts inventory,"Equipment Maintenance, Mechanical Repair, Electrical Knowledge, Troubleshooting, Technical Skills"
Industrial Safety Officer,Full-time,"Hingna, Nagpur",1-3 years,28000,38000,Diploma,Manufacturing,1,Upto 1 week,2022-2024,hrd@zimlab.in,On-Site,On-site,ZIM Laboratories Ltd,www.zimlab.in.,Pharmaceutical and manufacturing company at MIDC with integrated production facilities and strong focus on quality compliance and workplace safety.,"Ensure workplace safety compliance, conduct safety audits and training, investigate incidents, maintain safety documentation. Promote safety culture.",Diploma or Bachelor's degree | 1-3 years safety experience | Knowledge of safety regulations | Communication and training skills | Incident investigation capability,Conduct workplace safety inspections | Perform safety audits regularly | Investigate workplace incidents | Conduct safety training sessions | Maintain documentation | Report to management,"Safety Compliance, Audit Procedures, Risk Assessment, Communication, Documentation"
Machine Operator,Full-time,"Dharampeth, Nagpur",Fresher,16000,22000,10th Pass,Manufacturing,4,Immediate Joiner,2024-2025,sales@vaibhavplastimoulds.com,On-Site,Walk-In,Vaibhav Manufacturing,vaibhavplasto.com,Full-service manufacturing plant in Dharampeth specialized in automotive parts and machinery components with modern production facilities.,"Operate and control manufacturing machinery, ensure proper functioning, monitor output quality, maintain equipment hygiene. Handle materials safely.",10th pass minimum | Fresher or entry-level candidates welcome | Basic mechanical understanding | Physical capability | Attention to operational details,Operate machinery according instructions | Monitor machine performance | Ensure product quality | Maintain work area cleanliness | Report equipment issues | Follow safety rules,"Machine Operation, Quality Monitoring, Safety Procedures, Manual Dexterity, Teamwork"
